TCA,RundleQPct,Rundle,Matches,W,L,T
1,0.576,"C Bayou Div 1",33,4,24,5
0,0.576,"C Bayou Div 1",8,0,8,0
6,0.531,"C Bayou Div 2",15,15,0,0
5,0.531,"C Bayou Div 2",70,48,9,13
4,0.531,"C Bayou Div 2",149,97,39,13
3,0.531,"C Bayou Div 2",176,63,90,23
2,0.531,"C Bayou Div 2",130,29,81,20
1,0.531,"C Bayou Div 2",40,3,30,7
0,0.531,"C Bayou Div 2",6,0,6,0
6,0.562,"C Cascade",25,25,0,0
5,0.562,"C Cascade",131,108,20,3
4,0.562,"C Cascade",206,107,70,29
3,0.562,"C Cascade",211,69,109,33
2,0.562,"C Cascade",146,29,95,22
1,0.562,"C Cascade",44,0,39,5
0,0.562,"C Cascade",5,0,5,0
6,0.614,"C Central",11,10,0,1
5,0.614,"C Central",162,112,17,33
4,0.614,"C Central",246,109,92,45
3,0.614,"C Central",186,56,109,21
2,0.614,"C Central",75,9,54,12
1,0.614,"C Central",25,1,24,0
0,0.614,"C Central",1,0,1,0
6,0.567,"C Coastal",24,24,0,0
5,0.567,"C Coastal",131,104,15,12
4,0.567,"C Coastal",245,135,81,29
3,0.567,"C Coastal",244,68,133,43
2,0.567,"C Coastal",132,26,90,16
1,0.567,"C Coastal",41,5,32,4
0,0.567,"C Coastal",11,0,11,0
6,0.571,"C Continental Div 1",23,23,0,0
5,0.571,"C Continental Div 1",70,55,10,5
4,0.571,"C Continental Div 1",164,95,50,19
3,0.571,"C Continental Div 1",167,59,89,19
2,0.571,"C Continental Div 1",78,8,61,9
1,0.571,"C Continental Div 1",27,0,27,0
0,0.571,"C Continental Div 1",3,0,3,0
6,0.585,"C Continental Div 2",16,16,0,0
5,0.585,"C Continental Div 2",100,70,15,15
4,0.585,"C Continental Div 2",140,78,44,18
3,0.585,"C Continental Div 2",129,36,66,27
2,0.585,"C Continental Div 2",78,8,60,10
1,0.585,"C Continental Div 2",25,1,22,2
0,0.585,"C Continental Div 2",2,0,2,0
6,0.499,"C Corridor Div 1",8,6,0,2
5,0.499,"C Corridor Div 1",32,27,3,2
4,0.499,"C Corridor Div 1",113,72,27,14
3,0.499,"C Corridor Div 1",131,59,52,20
2,0.499,"C Corridor Div 1",100,17,64,19
1,0.499,"C Corridor Div 1",39,2,30,7
0,0.499,"C Corridor Div 1",7,0,7,0
6,0.484,"C Corridor Div 2",2,2,0,0
5,0.484,"C Corridor Div 2",39,36,2,1
4,0.484,"C Corridor Div 2",113,77,30,6
3,0.484,"C Corridor Div 2",152,66,61,25
2,0.484,"C Corridor Div 2",103,22,66,15
1,0.484,"C Corridor Div 2",52,4,37,11
0,0.484,"C Corridor Div 2",11,0,11,0
6,0.548,"C Fjord",16,16,0,0
5,0.548,"C Fjord",114,89,11,14
4,0.548,"C Fjord",218,126,60,32
3,0.548,"C Fjord",264,94,122,48
2,0.548,"C Fjord",153,24,113,16
1,0.548,"C Fjord",49,3,42,4
0,0.548,"C Fjord",4,0,4,0
6,0.556,"C Frontier",21,21,0,0
5,0.556,"C Frontier",95,76,6,13
4,0.556,"C Frontier",258,148,72,38
3,0.556,"C Frontier",238,67,131,40
2,0.556,"C Frontier",145,25,97,23
1,0.556,"C Frontier",40,7,31,2
0,0.556,"C Frontier",7,0,7,0
6,0.541,"C Glacier",22,18,0,4
5,0.541,"C Glacier",72,58,6,8
4,0.541,"C Glacier",156,92,38,26
3,0.541,"C Glacier",174,55,89,30
2,0.541,"C Glacier",124,22,78,24
1,0.541,"C Glacier",38,3,31,4
0,0.541,"C Glacier",8,0,6,2
6,0.483,"C Highland Div 1",7,7,0,0
5,0.483,"C Highland Div 1",33,31,2,0
4,0.483,"C Highland Div 1",100,68,23,9
3,0.483,"C Highland Div 1",173,77,69,27
2,0.483,"C Highland Div 1",107,21,73,13
1,0.483,"C Highland Div 1",37,1,26,10
0,0.483,"C Highland Div 1",17,0,12,5
6,0.514,"C Highland Div 2",8,8,0,0
5,0.514,"C Highland Div 2",45,38,4,3
4,0.514,"C Highland Div 2",117,74,26,17
3,0.514,"C Highland Div 2",163,70,73,20
2,0.514,"C Highland Div 2",99,15,70,14
1,0.514,"C Highland Div 2",37,4,30,3
0,0.514,"C Highland Div 2",7,0,6,1
6,0.544,"C Horizon",16,14,0,2
5,0.544,"C Horizon",94,76,9,9
4,0.544,"C Horizon",237,135,73,29
3,0.544,"C Horizon",249,84,120,45
2,0.544,"C Horizon",156,31,100,25
1,0.544,"C Horizon",44,2,36,6
0,0.544,"C Horizon",4,0,4,0
6,0.561,"C Juniper",24,24,0,0
